x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
15,-1,1,0.025115268,0.026961095,-0.549258083
16,-1,1,0.025185436,0.026656981,-0.41860139
17,-1,1,0.02523424,0.026434263,-0.3251443
18,-1,1,0.0252829,0.026274725,-0.254538663
19,-1,1,0.025317514,0.026155989,-0.20132991
20,-1,1,0.02533755,0.026068787,-0.160995018
0,0,1,0.02692532,0.026932732,0.0
1,0,1,0.02623468,0.028157847,0.590433675
2,0,1,0.025452121,0.029576011,1.24872085
3,0,1,0.024666791,0.031470588,1.846626722
4,0,1,0.023945558,0.033503447,1.787217963
5,0,1,0.023415147,0.035162583,1.398556353
6,0,1,0.023029822,0.036331613,0.886607412
7,0,1,0.022834312,0.036863765,-0.022688858
8,0,1,0.022888878,0.036498919,-0.932129411
9,0,1,0.023086076,0.035486304,-1.517862941
10,0,1,0.023405913,0.034022562,-1.9955311
11,0,1,0.023799481,0.032180237,-2.235659744
12,0,1,0.02416392,0.030475736,-1.789766081
13,0,1,0.024422051,0.029260022,-1.307346559
14,0,1,0.024618438,0.028413973,-0.966042051
15,0,1,0.024758866,0.02781811,-0.731931481
16,0,1,0.02485888,0.027381277,-0.555572864
17,0,1,0.024934835,0.027046533,-0.428176585
18,0,1,0.025008181,0.026791882,-0.333504188
19,0,1,0.02506586,0.026592696,-0.260855939
20,0,1,0.025106938,0.026437192,-0.207169684
0,1,1,0.027484808,0.027492349,-0.0
1,1,1,0.026572818,0.028981314,0.745473072
2,1,1,0.025581533,0.030699505,1.574647196
3,1,1,0.024598822,0.032944953,2.330031835
4,1,1,0.023700509,0.035336663,2.270208132
5,1,1,0.023027256,0.037297362,1.788608628
6,1,1,0.022532991,0.038685278,1.137675598
7,1,1,0.022267038,0.039322269,-0.022609704
8,1,1,0.022294379,0.038912152,-1.184095741
9,1,1,0.022497409,0.037739704,-1.930003673
10,1,1,0.022846808,0.036038178,-2.526968188
11,1,1,0.02328604,0.033903033,-2.815984459
12,1,1,0.023698337,0.031914834,-2.257194174
13,1,1,0.023997666,0.030464846,-1.651870401
14,1,1,0.024229721,0.029428843,-1.22280761
15,1,1,0.024402508,0.028674973,-0.925865255
16,1,1,0.024532357,0.028105464,-0.699703447
17,1,1,0.024635452,0.027658735,-0.536890489
18,1,1,0.024733479,0.027308986,-0.41690542
19,1,1,0.024814217,0.027029369,-0.323094806
20,1,1,0.024876525,0.026805659,-0.25601282
0,2,1,0.028044229,0.028051898,-0.0
1,2,1,0.026910906,0.0298044,0.912655781
2,2,1,0.025711121,0.031822013,1.927751126
3,2,1,0.02453175,0.034415923,2.854899661
4,2,1,0.023457067,0.037163606,2.796166494
5,2,1,0.022641326,0.039423837,2.213630781
6,2,1,0.022038737,0.041027329,1.412157083
7,2,1,0.021702873,0.041766447,-0.020233098
8,2,1,0.021702741,0.041312515,-1.455547497
9,2,1,0.021911059,0.039983194,-2.375121542
10,2,1,0.022289887,0.038044751,-3.101713838
11,2,1,0.02277388,0.035620662,-3.439895793
12,2,1,0.023233172,0.033352425,-2.758319994
13,2,1,0.023573521,0.031668893,-2.018294698
14,2,1,0.023841153,0.030443269,-1.493483964
15,2,1,0.024046252,0.029531559,-1.130998993
16,2,1,0.02420591,0.028829456,-0.850952693
17,2,1,0.024336125,0.028270806,-0.651255732
18,2,1,0.024458823,0.02782599,-0.504720735
19,2,1,0.024562611,0.027465971,-0.38803139
20,2,1,0.024645953,0.027173986,-0.307511231
0,-2,2,0.051203644,0.0512038,0.0
1,-2,2,0.0506206,0.051991224,1.109724092
2,-2,2,0.050123166,0.053150048,2.373258926
3,-2,2,0.049603646,0.054779952,3.501177713
4,-2,2,0.049141993,0.056469259,3.268124191
5,-2,2,0.048859168,0.05775328,2.466015956
6,-2,2,0.048674921,0.058592292,1.575075495
7,-2,2,0.048622759,0.058950323,0.037992034
8,-2,2,0.048761635,0.058658295,-1.491187459
9,-2,2,0.048983409,0.05786216,-2.496679018
10,-2,2,0.04930195,0.056661349,-3.433163506
11,-2,2,0.049670601,0.055052956,-3.955793022
12,-2,2,0.050006453,0.053511818,-3.064383998
13,-2,2,0.050233095,0.052452964,-2.085195519
14,-2,2,0.050394005,0.051779471,-1.421886359
15,-2,2,0.050497416,0.051377022,-1.002527361
16,-2,2,0.050546847,0.051128661,-0.718805119
17,-2,2,0.050566387,0.050973275,-0.534240932
18,-2,2,0.050597974,0.050880396,-0.406346032
19,-2,2,0.050605511,0.050827771,-0.31590673
20,-2,2,0.05060676,0.05080092,-0.249826113
0,-1,2,0.051706431,0.051706034,0.0
1,-1,2,0.050933662,0.052655726,1.346066872
2,-1,2,0.050281212,0.05400673,2.855894786
3,-1,2,0.049622431,0.055818418,4.185911681
4,-1,2,0.04904003,0.057662997,3.937924613
5,-1,2,0.048659641,0.059067472,2.991663129
6,-1,2,0.048401003,0.059978646,1.897336449
7,-1,2,0.04829676,0.060369043,0.018339966
8,-1,2,0.048404274,0.060073636,-1.851961299
9,-1,2,0.048611901,0.059236822,-3.088038792
10,-1,2,0.048932534,0.057954975,-4.20451025
11,-1,2,0.049313303,0.056238636,-4.80435676
12,-1,2,0.049667348,0.054573198,-3.785030677
13,-1,2,0.049915652,0.05337782,-2.640492112
14,-1,2,0.050098552,0.052577189,-1.848042042
15,-1,2,0.050223442,0.052060423,-1.326533285
16,-1,2,0.050293595,0.051711136,-0.964854859
17,-1,2,0.050332391,0.051468099,-0.719630467
18,-1,2,0.050382043,0.051299356,-0.547584227
19,-1,2,0.05040669,0.05118179,-0.423297138
20,-1,2,0.05042393,0.051099584,-0.331837117
0,0,2,0.052204014,0.052203302,0.0
1,0,2,0.051245948,0.053306108,1.591627919
2,0,2,0.050442967,0.054837723,3.357430724
3,0,2,0.049649409,0.056812538,4.893729182
4,0,2,0.048950378,0.058792438,4.631745348
5,0,2,0.048475652,0.060292129,3.535358143
6,0,2,0.048144581,0.061259438,2.230152613
7,0,2,0.047988689,0.061674857,-0.000451612
8,0,2,0.048063719,0.061378406,-2.222470681
9,0,2,0.048254605,0.060512117,-3.69712752
10,0,2,0.04857361,0.059170688,-5.000666266
11,0,2,0.048962228,0.057367157,-5.676138872
12,0,2,0.04933174,0.055593165,-4.527376291
13,0,2,0.049599761,0.0542737,-3.212399745
14,0,2,0.049803713,0.05335343,-2.285205561
15,0,2,0.049949507,0.05272799,-1.660019116
16,0,2,0.050040037,0.052281999,-1.216964423
17,0,2,0.050097889,0.051954473,-0.910002544
18,0,2,0.050165498,0.051712215,-0.692799683
19,0,2,0.050207216,0.051531433,-0.533093298
20,0,2,0.050239797,0.051394845,-0.416304431
0,1,2,0.052696055,0.052695178,0.0
1,1,2,0.051557363,0.053942795,1.845965417
2,1,2,0.050608538,0.055642655,3.876062528
3,1,2,0.049684578,0.057764337,5.621054106
4,1,2,0.048874494,0.059850927,5.346223705
5,1,2,0.048307856,0.061427493,4.095435913
6,1,2,0.047905602,0.062437885,2.571783976
7,1,2,0.047697733,0.062875096,-0.018550926
8,1,2,0.047739846,0.062576979,-2.601305192
9,1,2,0.047912431,0.061688857,-4.322499139
10,1,2,0.0482269,0.060301741,-5.81923808
11,1,2,0.048618169,0.058438968,-6.566090571
12,1,2,0.048999776,0.056572523,-5.288801741
13,1,2,0.049285647,0.055141024,-3.800133923
14,1,2,0.049509558,0.054109003,-2.732991181
