x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
20,-2.0,-1.0,-0.025440557792846607,-0.025564376124074195,0.10356525086638181
0,-1.0,-1.0,-0.025104236286887884,-0.0251113953642254,-0.00011819363950193139
1,-1.0,-1.0,-0.025109923734984163,-0.025184114741972196,0.08283596834003212
2,-1.0,-1.0,-0.025082497436835417,-0.025429829474281324,0.18881906866480305
3,-1.0,-1.0,-0.025027911242904474,-0.025939471870353878,0.3291019356796171
4,-1.0,-1.0,-0.02495362966520189,-0.026573700339933684,0.3077346654730697
5,-1.0,-1.0,-0.02491458291190876,-0.02704446560746008,0.24041537530129986
6,-1.0,-1.0,-0.024910136670666178,-0.0273661862363302,0.19944270066624123
7,-1.0,-1.0,-0.02493776686603631,-0.02751578799733584,0.10906188622571306
8,-1.0,-1.0,-0.02504273520743641,-0.027355858404022753,0.022832573120465268
9,-1.0,-1.0,-0.02518399393141963,-0.026988484188139646,-0.01215262765912737
10,-1.0,-1.0,-0.02534033951732866,-0.02646207496133638,-0.07572800005902786
11,-1.0,-1.0,-0.0255163943655956,-0.025828834474222916,-0.09042001861280169
12,-1.0,-1.0,-0.025664786197457577,-0.025278606149423163,0.06393438981661377
13,-1.0,-1.0,-0.025752302395291003,-0.02500087362134024,0.18798162243424288
14,-1.0,-1.0,-0.02578697884006927,-0.02490596972818317,0.24674154926373726
15,-1.0,-1.0,-0.025772118994520136,-0.024893050084513018,0.2597493260593097
16,-1.0,-1.0,-0.02573990067847531,-0.02494238974924466,0.25029530191310245
17,-1.0,-1.0,-0.025735480850122183,-0.02500522946848439,0.2192359313444846
18,-1.0,-1.0,-0.025693851416783327,-0.025068866810596942,0.19485755996934506
19,-1.0,-1.0,-0.02569756192519607,-0.025133660621184988,0.1623420953462481
20,-1.0,-1.0,-0.02566785630693465,-0.025200116610299014,0.13647963339094285
0,0.0,-1.0,-0.024544846981567555,-0.024551871667054432,-0.0016737568381208047
1,0.0,-1.0,-0.024774206365591623,-0.024372584346235522,-0.008024105108897298
2,0.0,-1.0,-0.024952122107372094,-0.024325503596389242,0.006949865083287342
3,0.0,-1.0,-0.025091334597585904,-0.024489878080410345,0.06466309231780006
4,0.0,-1.0,-0.02519253297325079,-0.024766561416421362,0.046353667680701996
5,0.0,-1.0,-0.025295720272111064,-0.02493671598586311,0.03346200197925302
6,0.0,-1.0,-0.025399103485207332,-0.025039608899365653,0.07318334571475876
7,0.0,-1.0,-0.025496890572804968,-0.025083217555773737,0.12855135111917443
8,0.0,-1.0,-0.025628759325983144,-0.024968675758264457,0.18351990500321047
9,0.0,-1.0,-0.025763371586830452,-0.024762662302246535,0.23943291695471908
10,0.0,-1.0,-0.025890686719463745,-0.02447423318993185,0.2428336123163654
11,0.0,-1.0,-0.026021259156287273,-0.024131432644276824,0.2523315227596977
12,0.0,-1.0,-0.026122592859291936,-0.02386169569071814,0.34676844105021165
13,0.0,-1.0,-0.0261702889774582,-0.023811777890199785,0.4114816453200457
14,0.0,-1.0,-0.02616975604871012,-0.023904640868020636,0.41893569538529185
15,0.0,-1.0,-0.02612305818630218,-0.024047069041839536,0.3922986858988569
16,0.0,-1.0,-0.026061609824253786,-0.02422637034547745,0.35042978492854304
17,0.0,-1.0,-0.026030721157958188,-0.024399863220903543,0.29561561138310083
18,0.0,-1.0,-0.025964490157565998,-0.02455750292100577,0.25205432392379173
19,0.0,-1.0,-0.02594564205761792,-0.024701843282103612,0.20290921089629643
20,0.0,-1.0,-0.02589518416233043,-0.024835821460617896,0.16770604005206102
0,1.0,-1.0,-0.02398534591636974,-0.023992235755143827,-0.002803565134370257
1,1.0,-1.0,-0.024438476715313864,-0.023560835782552792,-0.08622092187241084
2,1.0,-1.0,-0.024821763955449494,-0.023220930173923432,-0.15041885328311447
3,1.0,-1.0,-0.025154777959123735,-0.023040093818867884,-0.15761539124490578
4,1.0,-1.0,-0.025431408121651383,-0.022959444825182435,-0.17180998316801638
5,1.0,-1.0,-0.02567678432450052,-0.022829170000637677,-0.1381127928099973
6,1.0,-1.0,-0.025887973697204816,-0.022713327262196218,-0.02894535567026313
7,1.0,-1.0,-0.02605591211017181,-0.022650962175861888,0.14973595168780163
8,1.0,-1.0,-0.026214694712377067,-0.022581760041499976,0.3235403595512542
9,1.0,-1.0,-0.026342692224161416,-0.022537002284600174,0.45813847866945
10,1.0,-1.0,-0.02644103476711154,-0.022486365402382722,0.5183346041076998
11,1.0,-1.0,-0.026526193649845226,-0.022433791716005305,0.549748949026331
12,1.0,-1.0,-0.026580483635536386,-0.02244452208827594,0.5978227199167816
13,1.0,-1.0,-0.026588335841254983,-0.022622504651861365,0.6134211009078608
14,1.0,-1.0,-0.026552581247853216,-0.02290317618429728,0.5779917495187278
15,1.0,-1.0,-0.026474034564029744,-0.023200987074194466,0.5151820936641766
16,1.0,-1.0,-0.026383343892097726,-0.02351028887691966,0.44369973168513166
17,1.0,-1.0,-0.026325977093615754,-0.02379446216062112,0.36628755810217517
18,1.0,-1.0,-0.026235139281328267,-0.024046119350524968,0.3044287297820715
19,1.0,-1.0,-0.026193729736312982,-0.024270014028543917,0.2403765030824191
20,1.0,-1.0,-0.026122517929179256,-0.02447151889439452,0.1972328294747412
0,2.0,-1.0,-0.023425817878746927,-0.023432571800697823,-0.0035068233914954793
1,2.0,-1.0,-0.024102781076982483,-0.022748972754426052,-0.15172389537172237
2,2.0,-1.0,-0.024691455286872527,-0.022116188135324594,-0.28325415762254097
3,2.0,-1.0,-0.025218284842304532,-0.021590064114927168,-0.3377415496221664
4,2.0,-1.0,-0.025670368423815048,-0.021151984762454768,-0.34685116942644995
5,2.0,-1.0,-0.026057904700014976,-0.02072135791415781,-0.27443403986478765
6,2.0,-1.0,-0.02637682234061038,-0.02038705020784884,-0.10704661614846667
7,2.0,-1.0,-0.02661486670917495,-0.020218896954578805,0.17262698668286902
8,2.0,-1.0,-0.026800620469956616,-0.020194840088491907,0.44299933618083437
9,2.0,-1.0,-0.026922069082238723,-0.020311097871653992,0.6440801319859383
10,2.0,-1.0,-0.02699146361763779,-0.02049817813226626,0.7508561996785448
11,2.0,-1.0,-0.027031182714270276,-0.02073593878851802,0.8018116839737949
12,2.0,-1.0,-0.02703840105790327,-0.02102723959866454,0.8170300747283662
13,2.0,-1.0,-0.027006402102564254,-0.02143314666914617,0.7937584588016929
14,2.0,-1.0,-0.026935417267720255,-0.02190165843452703,0.7238727364285613
15,2.0,-1.0,-0.026825011946930384,-0.022354885670650613,0.62836391258818
16,2.0,-1.0,-0.026705074431919308,-0.022794205112815796,0.5300794113193851
17,2.0,-1.0,-0.02662122770852381,-0.02318906563048888,0.43123458407289195
18,2.0,-1.0,-0.026505782097707556,-0.023534743529495188,0.3519703156872252
19,2.0,-1.0,-0.026441811315354374,-0.023838192778773207,0.2747372999028509
20,2.0,-1.0,-0.026349845118691827,-0.0241072251176532,0.22505368371392515
0,-2.0,0.0,7.092433535328263e-05,7.085068417732321e-05,0.0016282491716246746
1,-2.0,0.0,-1.1423469786634198e-05,0.00017140554227604887,0.005706295445107237
2,-2.0,0.0,-8.120519846018331e-05,0.00029594942302807036,-0.0011098645914001948
3,-2.0,0.0,-0.00014307890476671114,0.00044725856298143856,0.0017752295802967652
4,-2.0,0.0,-0.00019493236258508358,0.0006065055697516732,0.004380719910602104
5,-2.0,0.0,-0.0002323095673040843,0.000742473616406147,0.004387229467911349
6,-2.0,0.0,-0.00025475986017858083,0.000837346270385131,0.005258099984104102
7,-2.0,0.0,-0.00026188552952938183,0.0008775624930243072,0.0007453938823052016
8,-2.0,0.0,-0.0002508760813684524,0.0008432190035526138,-0.0021691837673862534
9,-2.0,0.0,-0.00022750977940603532,0.0007552736127125121,-0.0011972698913948355
10,-2.0,0.0,-0.0001966724252746601,0.0006312128666597378,-0.005196009359955768
11,-2.0,0.0,-0.0001618079545935227,0.000486968638623449,-0.009208077608715589
12,-2.0,0.0,-0.0001295801083664993,0.000352268741070667,0.001665891800690815
13,-2.0,0.0,-0.00010338598169560315,0.00024546146054373914,-0.0011833877428941916
14,-2.0,0.0,-8.294961081051012e-05,0.00016570227653132824,0.0028950246484927902
15,-2.0,0.0,-6.679441313212256e-05,0.00010704891877273463,-0.0007659287538158595
16,-2.0,0.0,-5.3655087457096436e-05,6.424107358107332e-05,0.002688089237442528
17,-2.0,0.0,-4.384697195172128e-05,3.5412936640230354e-05,-0.003411031145479474
18,-2.0,0.0,-3.604658036014848e-05,1.5998700806666745e-05,0.001211957274428771
19,-2.0,0.0,-3.022568601085482e-05,4.1812387404397814e-06,0.002204502212802601
20,-2.0,0.0,-2.5369409678319294e-05,-3.393572483899872e-06,0.0035060707747907177
0,-1.0,0.0,0.0006275795641383209,0.0006276375882614536,3.716699694408451e-05
1,-1.0,0.0,0.00032412850979517816,0.0009777595321596414,0.0169127194200095
2,-1.0,0.0,5.14737112799788e-05,0.0013929520144574776,0.02844969535616634
3,-1.0,0.0,-0.00020211095851673877,0.001887861818033779,0.047062682317482715
4,-1.0,0.0,-0.00042791185005027415,0.0024035359344070557,0.049731587648242905
5,-1.0,0.0,-0.0006065723328812902,0.0028395092366276953,0.042125037711997576
6,-1.0,0.0,-0.000736254996433943,0.003152840819012506,0.029248184835488352
7,-1.0,0.0,-0.0008131766196259665,0.0032988646146768,0.005007204687805227
8,-1.0,0.0,-0.0008288864021669682,0.003219094580728387,-0.01891727226653114
9,-1.0,0.0,-0.000798821585256397,0.0029698609410838527,-0.03307058708415952
10,-1.0,0.0,-0.0007390225412719309,0.002607987869460787,-0.04630593984151076
11,-1.0,0.0,-0.0006588830840518814,0.0021736306048522336,-0.05134935489805772
12,-1.0,0.0,-0.0005798889064560343,0.001758827090689044,-0.035246687121336745
13,-1.0,0.0,-0.0005142016986240658,0.0014246428296819833,-0.024968534476485643
14,-1.0,0.0,-0.000458962265173569,0.001157749493596357,-0.016592047116666803
15,-1.0,0.0,-0.00041142198924175685,0.0009444907371690942,-0.013845401930929153
16,-1.0,0.0,-0.00036950751320527405,0.000772472453894322,-0.008916028722743063
17,-1.0,0.0,-0.0003336819120668693,0.0006337491228675345,-0.010568151625443459
18,-1.0,0.0,-0.00030173182148689155,0.0005210824747140725,-0.0039914389098421165
19,-1.0,0.0,-0.0002737777356922768,0.0004304163606235478,-0.004859653945644091
20,-1.0,0.0,-0.00024857417668748143,0.0003559582624325757,-0.0023627889231523334
0,0.0,0.0,0.0011850089368576808,0.0011852010310261498,-0.0011285958531624084
1,0.0,0.0,0.0006594250898527853,0.0017862605640863905,0.04082627069368326
2,0.0,0.0,0.00018292676400707717,0.002493834646305161,0.0825655778583504
3,0.0,0.0,-0.00026346598505411195,0.0033341764391720263,0.13456599172219874
4,0.0,0.0,-0.0006642305066711988,0.004207772162478938,0.1383203216310937
